"Filename","Site","Date","Validation"
"PAM14_20230425_104000.wav","Site_12",2023-04-25,"absent"
"PAM14_20230425_125000.wav","Site_12",2023-04-25,"absent"
"PAM14_20230426_150000.wav","Site_12",2023-04-26,"absent"
"PAM14_20230426_152000.wav","Site_12",2023-04-26,"absent"
"PAM14_20230427_080000.wav","Site_12",2023-04-27,"absent"
"PAM14_20230427_081000.wav","Site_12",2023-04-27,"absent"
"PAM14_20230428_104000.wav","Site_12",2023-04-28,"absent"
"PAM14_20230429_062000.wav","Site_12",2023-04-29,"absent"
"PAM14_20230429_070000.wav","Site_12",2023-04-29,"absent"
"PAM14_20230429_074000.wav","Site_12",2023-04-29,"absent"
"PAM14_20230429_133000.wav","Site_12",2023-04-29,"absent"
"PAM14_20230430_103000.wav","Site_12",2023-04-30,"absent"
"PAM10_20230330_071000.wav","Site_18",2023-03-30,"absent"
"PAM10_20230412_110000.wav","Site_18",2023-04-12,"absent"
"PAM10_20230413_094000.wav","Site_18",2023-04-13,"absent"
"PAM10_20230415_094000.wav","Site_18",2023-04-15,"absent"
"PAM10_20230418_102000.wav","Site_18",2023-04-18,"absent"
"PAM10_20230418_111000.wav","Site_18",2023-04-18,"absent"
"PAM10_20230419_103000.wav","Site_18",2023-04-19,"absent"
"PAM10_20230420_084000.wav","Site_18",2023-04-20,"absent"
"PAM10_20230423_063000.wav","Site_18",2023-04-23,"absent"
"PAM1_20230226_144000.wav","Site_2",2023-02-26,"absent"
"PAM1_20230227_083000.wav","Site_2",2023-02-27,"absent"
"PAM1_20230227_133000.wav","Site_2",2023-02-27,"absent"
"PAM1_20230228_104000.wav","Site_2",2023-02-28,"absent"
"PAM1_20230228_154000.wav","Site_2",2023-02-28,"absent"
"PAM1_20230315_063000.wav","Site_2",2023-03-15,"absent"
"PAM1_20230316_063000.wav","Site_2",2023-03-16,"absent"
"PAM1_20230318_091000.wav","Site_2",2023-03-18,"absent"
"PAM1_20230324_080000.wav","Site_2",2023-03-24,"absent"
"PAM1_20230324_102000.wav","Site_2",2023-03-24,"absent"
"PAM1_20230412_065000.wav","Site_2",2023-04-12,"absent"
"PAM1_20230412_100000.wav","Site_2",2023-04-12,"absent"
"PAM1_20230412_104000.wav","Site_2",2023-04-12,"absent"
"PAM1_20230412_111000.wav","Site_2",2023-04-12,"absent"
"PAM1_20230413_070000.wav","Site_2",2023-04-13,"absent"
"PAM1_20230413_122000.wav","Site_2",2023-04-13,"absent"
"PAM1_20230414_114000.wav","Site_2",2023-04-14,"absent"
"PAM1_20230415_075000.wav","Site_2",2023-04-15,"absent"
"PAM1_20230415_121000.wav","Site_2",2023-04-15,"absent"
"PAM1_20230417_145000.wav","Site_2",2023-04-17,"absent"
"PAM1_20230420_115000.wav","Site_2",2023-04-20,"absent"
"PAM2_20230304_223000.wav","Site_21",2023-03-04,"absent"
"PAM2_20230304_224000.wav","Site_21",2023-03-04,"present"
"PAM2_20230304_225000.wav","Site_21",2023-03-04,"absent"
"PAM2_20230304_235000.wav","Site_21",2023-03-04,"absent"
"PAM2_20230305_000000.wav","Site_21",2023-03-05,"absent"
"PAM2_20230305_221000.wav","Site_21",2023-03-05,"absent"
"PAM2_20230305_225000.wav","Site_21",2023-03-05,"absent"
"PAM2_20230305_230000.wav","Site_21",2023-03-05,"absent"
"PAM2_20230305_235000.wav","Site_21",2023-03-05,"absent"
"PAM2_20230306_210000.wav","Site_21",2023-03-06,"absent"
"PAM2_20230306_211000.wav","Site_21",2023-03-06,"absent"
"PAM2_20230306_213000.wav","Site_21",2023-03-06,"absent"
"PAM2_20230306_231000.wav","Site_21",2023-03-06,"absent"
"PAM2_20230306_232000.wav","Site_21",2023-03-06,"absent"
"PAM2_20230307_210000.wav","Site_21",2023-03-07,"absent"
"PAM2_20230307_211000.wav","Site_21",2023-03-07,"absent"
"PAM2_20230307_212000.wav","Site_21",2023-03-07,"absent"
"PAM2_20230307_213000.wav","Site_21",2023-03-07,"absent"
"PAM2_20230307_214000.wav","Site_21",2023-03-07,"absent"
"PAM2_20230307_215000.wav","Site_21",2023-03-07,"absent"
"PAM2_20230307_220000.wav","Site_21",2023-03-07,"absent"
"PAM2_20230307_221000.wav","Site_21",2023-03-07,"absent"
"PAM2_20230307_222000.wav","Site_21",2023-03-07,"absent"
"PAM2_20230307_223000.wav","Site_21",2023-03-07,"absent"
"PAM2_20230307_224000.wav","Site_21",2023-03-07,"absent"
"PAM2_20230307_225000.wav","Site_21",2023-03-07,"absent"
"PAM2_20230307_230000.wav","Site_21",2023-03-07,"absent"
"PAM2_20230307_231000.wav","Site_21",2023-03-07,"absent"
"PAM2_20230307_232000.wav","Site_21",2023-03-07,"absent"
"PAM2_20230307_233000.wav","Site_21",2023-03-07,"absent"
"PAM2_20230307_234000.wav","Site_21",2023-03-07,"absent"
"PAM2_20230307_235000.wav","Site_21",2023-03-07,"absent"
"PAM2_20230310_201000.wav","Site_21",2023-03-10,"present"
"PAM2_20230310_212000.wav","Site_21",2023-03-10,"absent"
"PAM2_20230310_220000.wav","Site_21",2023-03-10,"absent"
"PAM2_20230310_224000.wav","Site_21",2023-03-10,"absent"
"PAM2_20230312_234000.wav","Site_21",2023-03-13,"absent"
