filename,site,day,month,year,date,PresentAbsent
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
P10-IF4-3_20230629_053000,IF4_3,29,6,23,6/29/2023,NA
